ID,Order,Suborder,Superfamily,Family,Subfamily,Tribu,Subtribu,GenusOriginal,Genus,Subgenus,Species,Subspecies,Author,Year,Type,Stage,Validity,Rejections,Accessions,Citation,Host,HostOrgan,Locality,City,Country,Continent,LATD,LOND,CollectionDate,Collector,CollectionMethod,Taxonomist,DateDetermination,Institution,Observations,Order
CIP-011-99,Hymenoptera,Apocrita,Ichneumonoidea,Braconidae,Microgastrinae,,,,Apanteles,,sp.,,,,,,,,,,Tomato,,Lima,Lima,Perú,America del Sur,,,9-Dec-97,"Cañedo, V.",,,,CICIU,Placa CICIU insectos,22
CIP-002-04,Coleoptera,Polyphaga,Tenebrionoidea,Tenebrionidae,,,,,,,,,,,,,, ,16,,,,Acoma,Bolivia,Bolivia,America del Sur,,,,,,,,,6 mas pequeños puede ser de la misma sp. pero con dimorfismo sexual,23
CIP-002-05,Diptera,Nematocera,Blephariceroidea,Blephariceridae,,,,,,,,,,,,,,,2,,,,San Bartolo,Huasahuasi,Perú,America del Sur,,,22-Jun-05,"Cañedo, V.",Trampa de inteceptacion con tratamiento,"Doria, C.",3-Sep-05,,,24
CIP-002-06,Diptera,Nematocera,Tipuloidea,Tipulidae,Tipulinae,Tipulini,,,Tipula,,,,,,,,,,5,,,,Resana,Huasahuasi,Perú,America del Sur,,,13-Apr-06,"Cañedo, V.",Trampa Malaise,,,,,25
CIP-002-07,Coleoptera,Adephaga,Caraboidea,Carabidae,,,,,,,sp. 9,,,,,,,,6,,,,Aymará,Apurimac,Perú,America del Sur,,,22-Feb-06,"Alcazar, J.",,,,,Ticpa campo 4,26
CIP-002-08,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Typhlocybinae,,,,,,,,,,,,,,1,,,,Paraccho,Huancayo,Perú,America del Sur,,,29-Aug-05,"Cañedo, V.",,,,,C/E    -4,27
CIP-002-88,Hymenoptera,Apocrita,Chalcidoidea,Pteromalidae,,,,,Zatropis,,sp.,,,,,,,10,1,,Sweetpotato,,La Molina,Lima,Perú,America del Sur,,,13-May-88,"Alcazar, J.",,"Grissell, E. E. ",17-Jun-88,,Parasitos de mosca de botones florales en camote (Ipomoea batata) chicos,28
CIP-002-89,Hymenoptera,Apocrita,Chalcidoidea,Eulophidae,Eulophinae,,,,Diglyphus,,begini,,Ashmead,1904,,,,,1,,,,La Molina,Lima,Perú,America del Sur,,,15-Sep-85,"Palacios, M.",,,,,"Parte terminal del femur de redor blanco y en la tibia una pequeña franja de color negro, el resto blanco, papa parasito de Mosca minadora . Liriomyza huidobrensis",29
CIP-002-90,Lepidoptera,Glossata,Pterophoroidea,Pterophoridae,Ochyroticinae,,,,Ochyrotica,,fasciata,,Walsingham,1891,,,,,1,,Sweetpotato,,Carabayllo,Lima,Perú,America del Sur,,,13-Dec-89,"Cañedo, V.",,,,,,30
CIP-002-91,Acari-Mesostigmata,Dermanyssina,Ascoidea,Phytoseiidae,Amblyseiinae,Amblyseiini,Amblyseiina,,Amblyseius,,sp.,,,,,,,3,3 laminas,,,,Vitarte,Lima,Perú,America del Sur,,,13-Dec-90,"Mujica, N.",,,,,Predaton de arañita rojas sobre ipomoea sp.,31
CIP-002-92,Lepidoptera,Glossata,Gelechioidea,Gelechiidae,Gelechiinae,Gnorimoschemini,,,Phthorimaea,,operculella,,Zeller,1873,,,,,3,,Potato,,Arequipa,Arequipa,Perú,America del Sur,,,8-Apr-92,"Carrasco, E.",,,,,Polilla de la papa,32
CIP-002-93,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Premnotrypini ,,,Premnotrypes,,latithorax,,Pierce,1914,,,,,35,,,,Huatata,Cuzco,Perú,America del Sur,,,4-Feb-92,"Alcazar, J.",,,,,,33
CIP-002-94,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Premnotrypini ,,,Premnotrypes,,vorax,,Hustache,1933,,,,,7,,,,Boyaca,Colombia,Colombia,America del Sur,,,11-Jun-93,"Palacios, M.",,,,,En tuberculos,34
CIP-002-95,Lepidoptera,Glossata,Gelechioidea,Gelechiidae,Gelechiinae,Gnorimoschemini,,,Phthorimaea,,operculella,,Zeller,1873,,,,3,2,,,,La Paz,Bolivia,Bolivia,America del Sur,,,9-Nov-94,"Ruiz, M.",,"Povolny, D. ",16-Dec-95,,De la crianza de follaje larvas papa sp B. No hay reportes que se multiplique en quinua (llama la atencion D. Povolny),35
CIP-002-96,Lepidoptera,Glossata,Gelechioidea,Gelechiidae,Gelechiinae,Gnorimoschemini,,,Phthorimaea,,operculella,,Zeller,1873,,,,,1,,,,Ica,Ica,Perú,America del Sur,,,1-Feb-95,"Cañedo, V.",,,,,,36
CIP-002-97,Hymenoptera,,,,,,,,,,,,,,,,,,,,,,Tambopata,Madre de Dios,Perú,America del Sur,,,6-Nov-92,"Cañedo, V.",,,,,caracteristicas avispas parásitos de huevo de nepharitus sp. (Ithomiinae: Nymphalidae,37
CIP-002-98,Hemiptera,Sternorrhyncha,Psylloidea,Psyllidae,Aphalaroidinae ,,,,Russelliana,,solanicola,,Tuthill,1959,,,,,3,,Potato,,Pachia,Tacna,Perú,America del Sur,,,22-Sep-98,"Cañedo, V.",,"Miller, D. R.",7-Apr-99,,En papa Tomasa.,38
CIP-002-99,Hymenoptera,Apocrita,Ichneumonoidea,Ichneumonidae,Cremastinae,,,,Temelucha,,sp.,,,,,,,,3,,,,Lima,Lima,Perú,America del Sur,,,15-Jul-97,"Cañedo, V.",,,,,"En plantas de papa tomasa, parasitoide s.a <img class=""emoticon"" src=""/confluence/images/icons/emoticons/star_yellow.gif"" height=""16"" width=""16"" align=""absmiddle"" alt="""" border=""0""/> <img class=""emoticon"" src=""/confluence/images/icons/emoticons/star_yellow.gif"" height=""16"" width=""16"" align=""absmiddle"" alt="""" border=""0""/> placa s.a.",39
CIP-003-04,Diptera,,,,,,,,,,,,,,,,,,2,,,,Huancayo,Huancayo,Perú,America del Sur,,,2-Dec-83,,,,,,,40
CIP-003-05,Diptera,Brachycera,Oestroidea,Tachinidae,,,,,,,,,,,,,,,7,,,,San Bartolo,Huasahuasi,Perú,America del Sur,,,22-Jun-05,"Cañedo, V.",Trampa de interceptacion,"Woodley, E.",22-Jul-08,,,41
CIP-003-06,Diptera,Nematocera,Tipuloidea,Tipulidae,,,,,,,,,,,,,,,5,,,,Resana,Huasahuasi,Perú,America del Sur,,,13-Apr-06,"Cañedo, V.",Trampa Malaise,,,,,42
CIP-003-07,Coleoptera,Adephaga,Caraboidea,Carabidae,,,,,,,sp. 9,,,,,,,,21,,,,Ñuñunhuayo,Huancayo,Perú,America del Sur,,,20-Apr-06,"Alcazar, J.",,,,,Ticpa,43
CIP-1737-07,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Deltocephalinae,Deltocephalini ,,,Amplicephalus,,sp.,,,,,,,,4,,,,Chongos,Huancayo,Perú,America del Sur,,,18-Feb-08,"Cañedo, V.",,,,,manzanilla - II,3234
CIP-003-88,Hymenoptera,Apocrita,Chalcidoidea,Pteromalidae,,,,,Zatropis,,sp.,,,,,,,10,27 + 2 viales,,Sweetpotato,,La Molina,Lima,Perú,America del Sur,,,13-May-88,"Alcazar, J.",,,,,Parasito de mosca en botones florales en camote mas grande,45
CIP-003-89,Diptera,Brachycera,Opomyzoidea,Agromyzidae,Phytomyzinae,,,,Liriomyza,,huidobrensis,,(Blanchard),1926,,,,,9,,,,La Molina,Lima,Perú,America del Sur,,,15-Sep-85,"Palacios, M.",,,,,Con una mancha amarilla en el torax papa Mosca minadora,46
CIP-003-90,Lepidoptera,Glossata,Gelechioidea,Gelechiidae,Dichomeridinae,,,,Brachmia,,jugata,,,,,,,,2,,Sweetpotato,,Carabayllo,Lima,Perú,America del Sur,,,13-Dec-89,,,,,,Camote,47
CIP-003-91,Acari-,,,,,,,,,,,,,,,,,1,2 laminas,,Frijol,,La Molina,Lima,Perú,America del Sur,,,1-Dec-90,"Mujica, N.",,,,,Predator de arañita roja sobre frijol de la crianza de acaro,48
CIP-003-92,Hymenoptera,Apocrita,Chalcidoidea,Encyrtidae,,,,,,,,,,,,,,,8,,,,Arequipa,Arequipa,Perú,America del Sur,,,8-Apr-92,"Carrasco, E.",,,,,Parasito de Phthorimaea operculella,49
CIP-003-93,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Premnotrypini ,,,Premnotrypes,,sp.,,,,,,,,17,,,,Huatata,Cuzco,Perú,America del Sur,,,4-Feb-93,"Alcazar, J.",,,,,Mas pequeño,50
CIP-003-94,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,,,,,,,,,,,,,,7,,,,Boyaca,Colombia,Colombia,America del Sur,,,11-Jun-93,"Palacios, M.",,,,,En tuberculos,51
CIP-003-95,Lepidoptera,Glossata,Gelechioidea,Gelechiidae,,,,,,,,,,,,,,1,0,,Potato,,La Paz,Bolivia,Bolivia,America del Sur,,,,,,"Povolny, D. ",,,De la crianza de larvas de follaje de papa sp E.,52
